ID,question,answer,relavant_document
0,"Who should watch “the video in which Kamala says that 18-24 year olds are very stupid” in toxic messages posted on 2024-07-24 talking about USA Election on the ""Midnight Rider Chat 🇺🇸"" group chat?",Gen Z,Gen Z should watch the video where Kamala says that 18 to 24 year olds are seriously stupid. That was before they ousted Biden. Now that she's running for President she wants to be buddies. The TWO SIDES of Kamala. She's super fake and she lies like the prostitute she was. Beware Gen Z it's all a show for the cameras. 😡😡😡😡
1,"What is the only good Russian in toxic messages posted on 2024-07-26 talking about Russian Soldiers (ORCS) on the ""Pilot Blog Chat"" group chat?",A dead Russian,The only good Russian is a dead Russian.
2,"Who is mentioned as a Trump hater in toxic messages posted on 2024-06-16 talking about Donald Trump on the ""Midnight Rider Chat 🇺🇸"" group chat?",LeBron James and Barkley,Sure as shit LeBron James and Barkley aren't. Fucking TRUMP haters.
3,"How many Ukrainian refugees did Switzerland welcome in toxic messages posted on 2024-06-19 talking about Ukraine on the ""Pilot Blog Chat"" group chat?",90000,"""Fuck"" the 3 billion in aid already sent by Switzerland to Ukraine and the 8 billion program recently granted?... Do you ""Fuck"" a country that welcomed 90,000 Ukrainian refugees?... Do you what are you ""fuck"" a country that brought together 90 nations disapproving of Russia's attitude?... Are you ""Fuck"" a country that sold Germany 1/4 of its leopards 2 reserves as indirect support ?.... Well done !!!! You are Russian ?"
4,"Who is leading before the race started by a minimum of 90% in toxic messages posted on 2024-06-14 talking about Donald Trump on the ""Midnight Rider Chat 🇺🇸"" group chat?",Trump,Trump has been leading the dipshit Buyden before the race even started by a minimum of 90%.
5,"Who is described as a dangerous clown in toxic messages posted on 2024-07-20 talking about Russia on the ""Pilot Blog Chat"" group chat?",Trump,"Nothing to ""negotiate."" Russia, fuck off, go home. Nobody wants you here (Ukraine). Trump is a dangerous clown."
6,"What is Russia described as in terms of its global impact in toxic messages posted on 2024-07-25 talking about Russia on the ""Pilot Blog Chat"" group chat?",Cancer on Earth,Russian empire is nation of cannibals. It is like a cancer on Earth
7,"What happened to the Black Sea fleet without a navy in toxic messages posted on 2024-07-28 talking about Russia on the ""Pilot Blog Chat"" group chat?",Decimated,they decimated the Black Sea fleet that was there WITHOUT A FUCKIN NAVY
8,"What is Ukraine accused of buying in toxic messages posted on 2024-07-29 talking about Russia on the ""Pilot Blog Chat"" group chat?",Russian oil,"Ukraine buys Russian oil... Helps them run tanks... Slovakia produces diesel for ukrainians tanks from Ruzzian oil, you are talking bullshit..."
9,"What is the height of the person mentioned as cocksucker in toxic messages posted on 2024-07-31 talking about Russia on the ""Pilot Blog Chat"" group chat?","5'7""","Little 5'7"" cocksucker led over 550,000 Russians to death and for what?"
10,"What is the suggested consequence for Russia if they leave Ukraine voluntarily in toxic messages posted on 2024-08-04 talking about Russia on the ""Pilot Blog Chat"" group chat?",Sanctions might be lifted,"Or even leading NATO countries could agree to signal to ruZZia that if they leave Ukraine voluntarily and comply with other requirements concerning reparations and war crimes, then sanctions might be lifted perhaps a couple of years after they have complied. If they do not comply, then sanctions will be for a minimum of ten years after the conflict is over, possibly longer. Putler cannot agree to this, but it is an off ramp for the Kremlin. Putler just has to fall 'ill' and suddenly die."
11,"What is the suggested action towards Moscow in toxic messages posted on 2024-08-07 talking about Russia on the ""Pilot Blog Chat"" group chat?",Invade,"GOOOOOOOOOD! Gwan ! Fuck the Russians, invade the fuckers back! Let’s go to Moscow"
12,"Who did Trump deliver peace and prosperity for in toxic messages posted on 2024-08-07 talking about Donald Trump on the ""Midnight Rider Chat 🇺🇸"" group chat?",We the People,Trump was already president you dementia ridden moron. All he did was deliver peace and prosperity for “We the People”.
13,"What is being suggested that Russia should do to Europe in toxic messages posted on 2024-08-08 talking about Russia on the ""DDG Chat"" group chat?",Declare war,Russia should declare war with this idiots from europe..
14,"Who had their home raided by the FBI in toxic messages posted on 2024-08-08 talking about Russia on the ""Pilot Blog Chat"" group chat?",Scott Ritter,"😱Comrade Ritter is in the Sh**ter!

Convicted sex offender and ‘useful idiot' of the Kremlin - Scott Ritter - had his home raided by the FBI yesterday.

Mr. Ritter often provides propaganda crap for the Russians’ RT propaganda.

As Comrade Ritter admits, the raid is directly tied to his work for Russia.

@worldnewschat"
15,"What is Russia sending to Syria on behalf of Iran in toxic messages posted on 2024-08-09 talking about Russia on the ""NOELREPORTS 🇪🇺 🇺🇦 COMMENTS"" group chat?",s400's,"Russia is sending s400's into Syria on behalf of Iran. I'm fairly certain that the idf will make mincemeat of those things, so that's a few less Ukraine will have to worry about"
16,"What is Russia accused of using from Soviet times in toxic messages posted on 2024-08-09 talking about Russia on the ""Pilot Blog Chat"" group chat?",Weapon stores,Moscow regime are greedy bastards. Trying to take land by force. Now NATO has new members and russia economy is fucked. russia only surviving this long on weapon stores from Soviet time. The use of golf carts and motorcycles says much for the future of russian offensive capability.
17,"What sentence was given to Rada's deputy Goncharenko in absentia in toxic messages posted on 2024-06-19 talking about Ukraine on the ""DDG Chat"" group chat?",10 years,"🇺🇦💬🇷🇺🤡 Rada's deputy Goncharenko, convicted in absentia in the Russian Federation, is very upset: “So I want to answer all these scoundrels, as a deputy of the Verkhovna Rada, as the one whom they have now sentenced to 10 years. F*ck you, clowns, I want to say to Volodin, Putin and all these scumbags who are putting some kind of bullshit ultimatums. And we will not just imprison you, but we will hang you on poles"" 🐻 Breathe, Goncharenko, breathe 🔴@DDGeopolitics"
18,"What is OSINTdefender accused of being in toxic messages posted on 2024-06-20 talking about Ukraine on the ""DDG Chat"" group chat?",Pro Ukraine and pro Israel,OSINTdefender is a Twitter shit that is pro Ukraine and pro Israel
19,"What is the US public accused of doing for seven months in toxic messages posted on 2024-06-22 talking about Ukraine on the ""Pilot Blog Chat"" group chat?",Stood silently by,The US public stood silently by and did bugger all for seven months as Mike Johnson helped russia to kill many thousands of Ukrainians. And even now they do fuck all to pressure their lame brained leaders to allow Ukraine to defend itself against the invader that has free reign to do whatever the fuck it wants. History will judge the pathetic US very harshly yet again as yet again it disgraces itself.
20,"What is the status of the Russian passport in toxic messages posted on 2024-06-25 talking about Ukraine on the ""Pilot Blog Chat"" group chat?",Garbage,Kick fuckers out who don't surrender their Russian passports when Russia looses. That passport is garbage now anyway and they know it.
21,"What is suggested to be used on Russian soil in toxic messages posted on 2024-07-02 talking about Ukraine on the ""Pilot Blog Chat"" group chat?",ATACMS,Let Ukraine use ATACMS on Russian soil. Stop this shit once and for all.
22,"How many nations support Ukraine in toxic messages posted on 2024-07-03 talking about Ukraine on the ""Pilot Blog Chat"" group chat?",52,52 nations support Ukraine. Trump is a moron.
23,"Who is described as Putin's bitch in toxic messages posted on 2024-07-04 talking about Ukraine on the ""Pilot Blog Chat"" group chat?",Carson,"As an American Vet, Carson is Putin's bitch. His Emperor Putin is a murderer and a tyrant. Who is trying to eradicate the Ukrainian people."
24,"What is Modi accused of being in toxic messages posted on 2024-07-05 talking about Ukraine on the ""Pilot Blog Chat"" group chat?",Racist,"Modi is racist very racist toward half his country’s people. I don’t respect him. Just another man out for himself and addicted to power like Putin. I hope he enjoys his propaganda tea with Putler or as the day in Ukraine, dickface"
25,"What percentage of people in each country are described as frustrated in toxic messages posted on 2024-07-06 talking about Ukraine on the ""Pilot Blog Chat"" group chat?",25 to 30%,"Frage crab. In each country, are 25 to 30 % frustrated. They have in Common that they are not really educated and are full of hate against EU and foreigners. Bcs their world Ende at the borders of their country. If we all think like you none will help ukraine against a fukker like Putin! So you are the same! A fucking stupid egoist who still thinks his country us better than any EU country. This sucks. So gafy"
26,"What is Russia advised to do more aggressively in toxic messages posted on 2024-07-11 talking about Ukraine on the ""DDG Chat"" group chat?",Hit more and harder,"Russia needs to Ten up on the Tit- For-Tat bullshit, Russia needs to demonstrate , hit more and harder, just because, I am sick of listening to the Bullshit here in Canada over how Ukraine is winning and Taking our Money left right and center, it has nothing to do with us, It is the USA you need to deal with as they started it and i am Sick of it!"
27,"What type of aircraft does Ukraine prefer in toxic messages posted on 2024-07-11 talking about Ukraine on the ""Pilot Blog Chat"" group chat?",Gripen,Are you stupid or are you just a joke. Ukraine have told many Times that they prefer gripen
28,"What does Trump allegedly plan to stop in toxic messages posted on 2024-07-13 talking about Ukraine on the ""Pilot Blog Chat"" group chat?",Arms to Ukraine,"It’s exactly why Pootin loves Trump, Trump has said he will stop arms to Ukraine… your a Russian troll or really stupid"
29,"What is the nationality of the sniper mentioned in toxic messages posted on 2024-07-14 talking about Ukraine on the ""Pilot Blog Chat"" group chat?",Ukrainian,Damn that's a big ass rifle. Female Ukrainian Sniper i assume? Badass
30,"What does Germany lack that Ukrainian pilots might fly in toxic messages posted on 2024-07-15 talking about Ukraine on the ""Pilot Blog Chat"" group chat?",F-16s or MiGs,Populist bullshit. Germany doesn't have F-16s or MiGs or anything Ukrainian pilots might be able to fly. This is just a game of domestic politics abusing the topic of supporting Ukraine for a short-term gain in popularity.
31,"What city is declared to be part of Ukraine in toxic messages posted on 2024-07-17 talking about Ukraine on the ""Pilot Blog Chat"" group chat?",Mariupol,"MARIUPOL IS UKRAINE, not fucking russia. I’m Italian, I apologize for that, I really feel ashamed. We’ve to that shit, it’s simply unacceptable"
32,"What does Musk call for regarding Ukraine in toxic messages posted on 2024-07-18 talking about Ukraine on the ""Pilot Blog Chat"" group chat?",Capitulate,Musk is a massive Con supporter who has called for Ukraine to capitulate many times. It's very much in Dennis' wheelhouse. Also fuck that fatass
33,"Who is described as a dangerous clown in toxic messages posted on 2024-07-20 talking about Ukraine on the ""Pilot Blog Chat"" group chat?",Trump,"Nothing to ""negotiate."" Russia, fuck off, go home. Nobody wants you here (Ukraine). Trump is a dangerous clown."
34,"Which country supports Ukraine in toxic messages posted on 2024-07-21 talking about Ukraine on the ""Pilot Blog Chat"" group chat?",Canada,Canada 🇨🇦 supports Ukraine 🇺🇦. Fuck Russia 🇷🇺 bitch
35,"What did Trump allegedly call NATO in toxic messages posted on 2024-06-24 talking about Donald Trump on the ""Pilot Blog Chat"" group chat?",Obsolete,"Wasn’t it Donald Fucking Trump who said that NATO was Obselete?  Wasn’t it also Trump who said he believed Putin when asked about Russia’s meddling in the 2016 Presidential election?  Didn’t Trump start pulling out troops from Germany because Russia was no longer a threat to Europe?  Yet, Americans are seriously considering putting that Fucking Orange Deranged Coward back in power."
36,"What did the Ukrainian airforce deny Russia in toxic messages posted on 2024-07-28 talking about Ukraine on the ""Pilot Blog Chat"" group chat?",Air supremacy,"Hey asshole, the Ukraine airforce in reality denied Russian air supremacy over 80% of Ukraine for 2.5 years."
37,"What is Ukraine not a part of in toxic messages posted on 2024-07-29 talking about Ukraine on the ""DDG Chat"" group chat?",NATO,"Ukraine is not in nato. Israel is not in nato. Yet they control the ""greatest"" military alliance like a little bitch."
38,"Who is described as a wannabe dictator in toxic messages posted on 2024-07-29 talking about Ukraine on the ""Pilot Blog Chat"" group chat?",Trump,"Their entire family has been speaking in favor of Russia against Ukraine since the very beginning. They are supporting all Right-Wing Extremists and Nazis such as Russia, Orcban, Fico, Putler, Xi, Kim etc.

Trump is a wannabe dictator!"
39,"What is Crimea considered to be in toxic messages posted on 2024-07-31 talking about Ukraine on the ""Pilot Blog Chat"" group chat?",Ukraine,Don't give a Singles Piece of Land this Evil Bastards. And of Course Crimea is Ukraine
